signal_date,bar_time,symbol_code,perf_5bd_pct,alert_id
2026-04-03,2026-04-03 09:00,4784,0.8,tv_1e7825d51604e741a1d44c091fbd030c
2026-04-03,2026-04-03 09:00,5134,-10.2,tv_8b8dad866e86df7a51b74a600b9e3fbe
2026-04-03,2026-04-03 09:00,7212,7.8,tv_819564e9b93662809b19a91a1d6c2f38
2026-04-06,2026-04-06 09:00,2929,-2.5,tv_30cf78116cfab5d77e12d3ef08e58d80
2026-04-06,2026-04-06 09:00,3747,0.5,tv_f9037943f28a4a52d7406920b2d9636b
2026-04-06,2026-04-06 09:00,6619,-3.6,tv_bff6b166421796727a76ee6827452aee
2026-04-06,2026-04-06 09:00,7875,-3.6,tv_95a99c24180cac9ff4bfb2cd8b92ddc7
2026-04-07,2026-04-07 09:00,8887,-5.4,tv_8e6e7734845e0cb83e5b154750a396f7
2026-04-07,2026-04-07 13:00,5721,-16.9,tv_027959cdcd6d7c4f29130495e1ec844b
2026-04-07,2026-04-07 13:00,6659,-2.6,tv_03830d7b505ad2bb8ad5aec7039b768c
2026-04-07,2026-04-07 13:00,9253,-4.9,tv_e670796f2127b24d5cb07f78d1437d27
2026-04-08,2026-04-08 09:00,3997,-5.2,tv_22b4efe343ca9efadeacb5731b6b8caa
2026-04-08,2026-04-08 09:00,4188,-0.1,tv_fa41535242d96ec9de036d234b6f2a9b
2026-04-08,2026-04-08 09:00,7245,-3.2,tv_6ab7ed625177949339b1b92606ddfd74
2026-04-09,2026-04-09 09:00,5337,0.4,tv_53a627fb6c118e82a2883a11e1d65c9c
2026-04-09,2026-04-09 13:00,5856,-25.6,tv_cf5efe660f0ff7db5f64b3ac992e8ee8
2026-04-09,2026-04-09 13:00,7352,-4.6,tv_5556492ba455bc9d161184f999723c7d
2026-04-10,2026-04-10 09:00,130A,0.2,tv_f87998c25b593f5dd96df2dcb3748c10
2026-04-10,2026-04-10 09:00,3664,0.0,tv_8fc645ef1c9545bbe79c8e6fb1828d35
2026-04-10,2026-04-10 09:00,402A,2.5,tv_ca235cd0a1beacdf7da056c5af79e6a0
2026-04-10,2026-04-10 09:00,7871,-10.5,tv_5471456c3d28a4ccbd2dfbaad5ec9af3
2026-04-10,2026-04-10 09:00,9240,-1.3,tv_d8cd8c4aa25591e9f3b6e457e4f6d3d0
2026-04-13,2026-04-13 09:00,2999,-3.4,tv_47965b34075df03dabcaeff16faf6056
2026-04-13,2026-04-13 09:00,4651,3.1,tv_3d786ef785808432da852823e39cda4a
2026-04-13,2026-04-13 13:00,6217,76.2,tv_a117006ada7b920dc8f719038a9b0014
2026-04-14,2026-04-14 09:00,3803,-9.8,tv_5669d6ce6c6d3ee280d0aff0f6ba7d23
2026-04-14,2026-04-14 09:00,4176,-5.0,tv_d6693f51d866056aebe579a99bcbb9cf
2026-04-14,2026-04-14 09:00,4935,18.9,tv_bea9b25edeb7e76b992df80b7cd8befb
2026-04-14,2026-04-14 09:00,5246,-5.3,tv_08365fc06d77c8051c25543b4733bc90
2026-04-15,2026-04-15 09:00,2195,2.0,tv_605adbd0f680d7f526f6e4e6d0497e35
2026-04-15,2026-04-15 09:00,3798,5.4,tv_9a810200367adc190f825f269555ab0f
2026-04-15,2026-04-15 09:00,3923,5.1,tv_ccb1de3b1b957bd64908394bd395aab5
2026-04-15,2026-04-15 09:00,5575,30.3,tv_1fc5b4157bf7ca55fedf2f2184739719
2026-04-15,2026-04-15 09:00,6072,11.6,tv_c169bcab39a6acc7126885842f1f8f64
2026-04-15,2026-04-15 09:00,6347,4.3,tv_2dbfd15043d0ff7ebd88d95eeacc977a
2026-04-16,2026-04-16 09:00,4308,-0.8,tv_710eb3a9bcc87ab195027919f53b6353
2026-04-16,2026-04-16 09:00,6666,14.2,tv_111bd029a4cf02438191a8aefe9b7ebe
2026-04-16,2026-04-16 13:00,6325,-3.4,tv_4c360f9be7710b03d186660bace64854
2026-04-16,2026-04-16 13:00,7162,-8.0,tv_b4b130b7c1aa87d0afd177998bd8e6d8
2026-04-17,2026-04-17 09:00,3671,-4.7,tv_209e8878d2d370a2cca15e97a260b373
2026-04-17,2026-04-17 09:00,3697,-11.4,tv_cb7bdb3abe0557e0bd1035e4cdc3d704
2026-04-17,2026-04-17 09:00,3823,-28.6,tv_0079634f79cbc8f05b50fda06053c710
2026-04-17,2026-04-17 09:00,4422,-9.8,tv_4879ba09850d50dd304182baf014828a
2026-04-17,2026-04-17 09:00,472A,-6.4,tv_06ffe16e2997e233e4c9b36697f0e2c5
2026-04-21,2026-04-21 09:00,2459,-12.5,tv_07c727b39dff83b801b774ba77eac812
2026-04-21,2026-04-21 09:00,4833,-8.6,tv_bdfad8e4e51ccc755108f97fee0578e1
2026-04-21,2026-04-21 09:00,6157,-6.5,tv_42f524d5e0abb4ca8f3a467619262e3a
2026-04-21,2026-04-21 09:00,6177,-9.2,tv_c2db9c694efb78b8c89cc3f7c6a2c02f
2026-04-21,2026-04-21 09:00,6276,16.1,tv_9532199ef61f9add7bd1d72baa808f4d
2026-04-21,2026-04-21 09:00,6292,-4.9,tv_7474947016142608c9f6d9ebaf37bffd
2026-04-21,2026-04-21 09:00,7871,-5.3,tv_e41b1f12ee8aa85416b7b373268636d2
2026-04-21,2026-04-21 13:00,2673,-20.4,tv_baffd3882d4ee17a39b0289b57de0304
2026-04-21,2026-04-21 13:00,5131,-8.7,tv_c4d77f999e0ce81aaecda023cd67c97d
2026-04-22,2026-04-22 09:00,7031,12.9,tv_7f25154ebd3e8248a9993854a182813f
2026-04-23,2026-04-23 09:00,2351,3.5,tv_5ca32961f10db77e531209766267c8d2
2026-04-24,2026-04-24 09:00,4179,6.7,tv_3d5c7f79d502c2f860db58d7d1a2b2e6
2026-04-24,2026-04-24 09:00,4883,6.7,tv_a55892df1e020a518d7b5c248adbb1b9
2026-04-27,2026-04-27 09:00,7868,22.5,tv_04152c7fe052dcedb133c665c8a30746
2026-04-27,2026-04-27 09:00,9425,43.4,tv_dccf66a4d5b9c54f92bdf0c8a3103db4
2026-04-28,2026-04-28 09:00,8338,8.7,tv_96da9c92c79b72ca757a7cf117822af0
2026-04-28,2026-04-28 09:00,8609,-3.4,tv_ef82cd1700faea37367a5febe41011aa
2026-04-30,2026-04-30 09:00,2999,-0.5,tv_f626854b322dff4006e295b766ebac5e
2026-04-30,2026-04-30 09:00,6472,15.1,tv_f5e2e56b01246f8e8e764699268cb400
2026-04-30,2026-04-30 13:00,9425,-12.5,tv_12b7dc84cbcc9f083ec14559822ac526
